Tag,1844.2.1,1853.9.4,1862.9.3,1867.11.17,1885.6.13,1903.10.24,1915.9.2,
AMA,1172011,1490485,1433283,0,0,0,0,
ARA,5209081,0,0,0,0,0,0,
ARC,0,0,7409359,8908961,16524492,47920403,58309238,
ARI,0,5412042,5590908,8160053,11791930,14027297,13258817,
AZL,0,0,0,3594831,5758065,12594054,18051888,
BRG,7691024,10787715,13432287,12698050,20650812,24570069,28983525,
BTV,0,0,1216956,1276118,2940043,4162652,4957023,
CLM,4119165,4810709,5021294,5228257,0,0,0,
DNG,804435,1058967,1329806,1394037,1585446,1769234,1364793,
DUA,17028009,19228505,20715016,19853405,31283518,35895343,39992641,
ETH,3142172,3167391,3153382,4384907,5263594,5735561,5906451,
HUN,3999150,3903649,5555723,4374694,5901441,6717588,7072714,
INC,1640680,1311489,1105652,1148926,4796566,2809846,2549240,
JAP,18230022,29673127,32270636,34019127,45154669,31408390,36765336,
LOT,1002115,1225765,1671244,0,0,0,0,
LWE,211956,363165,0,0,0,0,0,
MUS,6761318,6279166,9745518,8314005,9970860,6943856,6984017,
PLA,2439868,3701943,0,0,0,0,0,
PLC,4851294,6283632,5560054,8329294,11744325,19227817,22820035,
SCA,6770703,8665562,8912947,9964073,10951423,15441300,18570044,
SGF,5606392,8222998,6820310,6211731,0,0,0,
SPA,6247779,9959602,17477607,18058743,27457735,33575644,40205937,
TUR,7034782,9002269,10198961,10630033,15338447,19955472,22633579,
VEN,1982205,490681,247861,0,0,0,0,
VIN,1078049,1180371,0,0,0,0,0,
