Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
ABK,0,0,0,0,0,0,0,
ABU,13575,12641,11914,0,0,11541,0,
ADA,0,0,0,0,0,0,0,
ADR,0,0,0,0,0,0,0,
ADW,0,0,0,0,0,0,0,
AFG,1262407,1293900,1307317,0,0,1109251,0,
AFS,0,0,0,0,0,0,0,
AGC,0,0,0,0,0,0,0,
AIN,2194,2898,2728,0,0,0,0,
AJU,0,0,0,0,0,0,0,
AKH,0,0,0,0,0,0,0,
ALB,0,0,0,0,0,0,0,
ALD,0,0,0,0,0,0,0,
ALH,0,0,0,0,0,0,0,
ALS,0,0,0,0,0,0,0,
ALT,0,0,0,0,0,0,0,
AMA,685797,971390,1061951,0,0,0,0,
AMT,0,0,0,0,0,0,0,
ANG,0,0,0,0,0,0,0,
ANH,0,0,0,0,0,0,0,
ANI,0,0,0,0,0,0,0,
AOT,44941,41888,0,0,0,0,0,
ARA,3091196,0,0,0,0,0,0,
ARC,0,0,5938144,23164966,10538542,7008621,17038067,
ARE,0,0,0,0,0,0,0,
ARG,0,0,0,0,0,0,0,
ARI,0,3933699,3458222,10280803,8980477,3574030,10236450,
ARM,0,0,0,0,0,0,0,
ARO,0,0,0,0,0,0,0,
ARU,0,0,0,0,0,0,0,
ARY,0,0,0,0,0,0,0,
ASH,678154,710289,850347,0,0,906768,0,
ASK,227816,0,0,0,0,0,0,
ASM,0,0,0,0,0,0,0,
AST,0,0,0,0,0,0,0,
ASY,0,0,0,0,0,0,0,
ATC,0,0,0,0,0,0,0,
ATJ,167286,0,0,0,0,0,0,
ATL,0,0,0,0,0,0,0,
ATR,0,0,0,0,0,0,0,
ATS,0,0,0,0,0,0,0,
AUS,0,0,0,0,0,0,0,
AVA,0,0,0,0,0,0,0,
AWA,0,0,0,0,0,0,0,
AWS,0,0,0,0,0,0,0,
AZA,374457,372385,368574,0,0,365548,0,
AZB,501777,526510,489354,0,211813,496817,0,
AZL,0,0,0,14189698,4780837,3218020,9605196,
AZT,0,0,0,0,0,0,0,
BAB,0,0,0,0,0,0,0,
BAD,0,0,0,0,0,0,0,
BAH,0,0,0,0,0,0,0,
BAL,333075,314364,297990,339054,274115,284353,308657,
BAN,0,0,0,0,0,0,0,
BAS,0,0,0,0,0,0,0,
BAV,0,0,0,0,0,0,0,
BDK,0,0,0,0,0,0,0,
BDN,0,0,0,0,0,0,0,
BEG,0,0,0,0,0,0,0,
BEL,0,0,0,0,0,0,0,
BEN,0,0,0,0,0,0,0,
BER,0,0,0,0,0,0,0,
BHA,0,0,0,0,0,0,0,
BHO,0,0,0,0,0,0,0,
BHP,0,0,0,0,0,0,0,
BHR,0,0,0,0,0,0,0,
BHT,0,0,0,0,0,0,0,
BHU,26802,24233,22402,20843,20576,21369,20718,
BIH,0,0,0,0,0,0,0,
BIK,237876,0,0,0,0,0,0,
BKF,0,0,0,0,0,0,0,
BKV,0,0,0,0,0,0,0,
BLC,0,0,0,0,0,0,0,
BLR,636289,634721,0,0,0,0,0,
BLZ,0,0,0,0,0,0,0,
BNB,0,0,0,0,0,0,0,
BNG,0,0,0,0,0,0,0,
BOH,0,0,0,0,0,0,0,
BOL,0,0,0,0,0,0,0,
BOS,0,0,0,0,0,0,0,
BRA,0,0,0,0,0,0,0,
BRD,0,0,0,0,0,0,0,
BRE,0,0,0,0,0,0,0,
BRG,4186651,4176200,4472253,9990721,7358971,4282627,8316630,
BRN,0,0,0,0,0,0,0,
BRT,0,0,0,0,0,0,0,
BRU,24063,24567,24766,0,27430,25835,28422,
BRY,0,0,0,0,0,0,0,
BRZ,0,0,0,0,0,0,0,
BSH,43586,0,0,0,0,0,0,
BSQ,0,0,0,0,0,0,0,
BTL,0,0,0,0,0,0,0,
BTV,0,0,415700,2006521,697700,451101,1603098,
BUG,226907,209972,203231,0,0,0,0,
BUK,0,0,0,0,0,0,0,
BUL,0,0,0,0,0,0,0,
BUN,0,0,0,0,0,0,0,
BUR,485543,507117,92037,0,0,84068,0,
BYE,0,0,0,0,0,0,0,
BYZ,0,0,0,0,0,0,0,
CAE,0,0,0,0,0,0,0,
CAL,0,0,0,0,0,0,0,
CAM,0,0,0,0,0,0,0,
CAN,0,0,0,0,0,0,0,
CAR,0,0,0,0,0,0,0,
CAS,0,0,0,0,0,0,0,
CAT,0,0,0,0,0,0,0,
CEQ,0,0,0,0,0,0,0,
CGO,0,0,0,0,0,0,0,
CHD,0,0,0,0,0,0,0,
CHE,0,0,0,0,0,0,0,
CHG,2006480,312651,911465,400677,780553,924921,372563,
CHI,0,0,0,0,0,0,0,
CHK,0,0,0,0,0,0,0,
CHL,0,0,0,0,0,0,0,
CHO,0,0,0,0,0,0,0,
CHP,344839,356701,363167,0,0,375705,0,
CHR,0,0,0,0,0,0,0,
CHY,0,0,0,0,0,0,0,
CIR,632036,586748,579142,0,0,578079,0,
CLA,0,0,0,0,0,0,0,
CLC,0,0,0,0,0,0,0,
CLM,796254,2275044,2393188,0,0,2667303,0,
CMR,0,0,0,0,0,0,0,
CMS,0,0,0,0,0,0,0,
CNG,0,0,0,0,0,0,0,
COB,0,0,0,0,0,0,0,
COL,0,0,0,0,0,0,0,
COS,0,0,0,0,0,0,0,
CPL,0,0,0,0,0,0,0,
CRC,0,0,0,0,0,0,0,
CRE,0,0,0,0,0,0,0,
CRI,0,0,0,0,0,0,0,
CRL,0,0,0,0,0,0,0,
CRO,0,0,0,0,0,0,0,
CRS,0,0,0,0,0,0,0,
CRT,0,0,0,0,0,0,0,
CSA,0,0,0,0,0,0,0,
CUB,0,0,0,0,0,0,0,
CYP,0,0,0,0,0,0,0,
CYR,0,0,0,0,0,0,0,
CZH,0,0,0,0,0,0,0,
DAG,0,0,0,0,0,0,0,
DAH,0,0,0,0,0,0,0,
DAI,1138126,1082764,1049725,0,0,1035161,0,
DAK,0,0,0,0,0,0,0,
DAM,0,0,0,0,0,0,0,
DAR,143036,147589,159500,0,0,159513,0,
DAX,0,0,0,0,0,0,0,
DEN,0,0,0,0,0,0,0,
DES,0,0,0,0,0,0,0,
DHY,258889,257719,250864,320737,267487,249987,296949,
DIN,0,0,0,0,0,0,0,
DJA,0,0,0,0,0,0,0,
DLM,0,0,0,0,0,0,0,
DNB,0,0,0,0,0,0,0,
DND,0,0,0,0,0,0,0,
DNG,780458,999595,1177484,1353734,1444636,1245994,1653770,
DOM,0,0,0,0,0,0,0,
DON,0,0,0,0,0,0,0,
DRA,0,0,0,0,0,0,0,
DUA,4480551,4906685,5167554,25344680,20546161,13289459,23010540,
DUR,0,0,0,0,0,0,0,
DZG,0,0,0,0,0,0,0,
ECU,0,0,0,0,0,0,0,
EGY,0,0,0,0,0,0,0,
EIC,0,0,0,0,0,0,0,
ELS,0,0,0,0,0,0,0,
ENG,0,0,0,0,0,0,0,
ENL,0,0,0,0,0,0,0,
ENT,0,0,0,0,0,0,0,
EQG,0,0,0,0,0,0,0,
EQN,0,0,0,0,0,0,0,
ERI,0,0,0,0,0,0,0,
EST,0,0,0,0,0,0,0,
ETH,2030147,2082037,2099771,2749918,2231211,2090787,2629073,
EZO,0,0,0,0,0,0,0,
FDL,0,0,0,0,0,0,0,
FIJ,0,0,0,0,0,0,0,
FIN,0,0,0,0,0,0,0,
FIU,0,0,0,0,0,0,0,
FJA,162170,165405,170926,0,0,176460,0,
FJN,0,0,0,0,0,0,0,
FLA,0,0,0,0,0,0,0,
FRA,0,0,0,0,0,0,0,
FRI,0,0,0,0,0,0,0,
FRM,0,0,0,0,0,0,0,
FRO,0,0,0,0,0,0,0,
FRR,218302,0,0,0,0,0,0,
FRT,0,0,0,0,0,0,0,
FSA,0,0,0,0,0,0,0,
FUN,72398,0,0,0,0,0,0,
GAB,0,0,0,0,0,0,0,
GAL,0,0,0,0,0,0,0,
GAN,325722,344168,358516,1420666,757917,388542,497395,
GAZ,0,0,0,0,0,0,0,
GBU,0,0,0,0,0,0,0,
GCO,0,0,0,0,0,0,0,
GEL,0,0,0,0,0,0,0,
GEN,126,40,0,0,0,0,0,
GEO,0,0,0,0,0,0,0,
GER,0,0,0,0,0,0,0,
GLC,0,0,0,0,0,0,0,
GLM,0,0,0,0,0,0,0,
GMB,0,0,0,0,0,0,0,
GMJ,0,0,0,0,0,0,0,
GNE,0,0,0,0,0,0,0,
GNG,0,0,0,0,0,0,0,
GNV,0,0,0,0,0,0,0,
GON,0,0,0,0,0,0,0,
GRA,0,0,0,0,0,0,0,
GRE,0,0,0,0,0,0,0,
GRN,0,0,0,0,0,0,0,
GRQ,116163,115804,115114,0,134339,117647,169933,
GUA,0,0,0,0,0,0,0,
GUY,0,0,0,0,0,0,0,
GWA,0,0,0,0,0,0,0,
GXI,0,0,0,0,0,0,0,
HAI,0,0,0,0,0,0,0,
HAL,0,0,0,0,0,0,0,
HAM,0,0,0,0,0,0,0,
HAN,0,0,0,0,0,0,0,
HAR,0,0,0,0,0,0,0,
HAW,24356,0,0,0,0,0,0,
HBE,0,0,0,0,0,0,0,
HBY,0,0,0,0,0,0,0,
HDJ,0,0,0,0,0,0,0,
HEK,0,0,0,0,0,0,0,
HES,0,0,0,0,102298,0,0,
HHR,30700,0,0,0,0,0,0,
HLR,2577371,2771912,3091920,14997862,13440795,7590202,15088099,
HND,0,0,0,0,0,0,0,
HNN,0,0,0,0,0,0,0,
HOL,0,0,0,0,0,0,0,
HON,0,0,0,0,0,0,0,
HTY,0,0,0,0,0,0,0,
HUI,0,0,0,0,0,0,0,
HUN,2029047,2209832,2340756,5334103,3190581,2371711,5017088,
HYD,0,0,0,0,0,0,0,
IBR,0,0,0,0,0,0,0,
ICL,0,0,0,0,0,0,0,
ILO,0,0,0,0,0,0,0,
INC,1588929,1276204,1037325,2503604,4003121,1093240,2767455,
IND,0,0,0,0,0,0,0,
INO,0,0,0,0,0,0,0,
ION,0,0,0,0,0,0,0,
IRE,0,0,0,0,0,0,0,
IRO,0,0,0,0,0,0,0,
IRQ,690727,105684,0,0,0,0,0,
ISR,0,0,0,0,0,0,0,
ITA,0,0,0,0,0,0,0,
IVC,0,0,0,0,0,0,0,
IZH,0,0,0,0,0,0,0,
JAI,324722,0,0,0,0,0,0,
JAL,0,0,0,0,0,0,0,
JAM,0,0,121517,0,0,0,0,
JAP,7369153,7895967,8445617,15363831,11365389,9119618,13024443,
JAS,98892,0,0,0,0,0,0,
JAV,0,0,0,0,0,0,0,
JLS,0,0,0,0,0,0,0,
JOD,0,0,0,0,0,0,0,
JOH,172827,158411,151903,0,0,150049,0,
JOR,0,0,0,0,0,0,0,
KAF,0,0,0,0,0,0,0,
KAG,0,0,0,0,0,0,0,
KAL,0,0,0,0,0,0,0,
KAM,0,0,0,0,0,0,0,
KAN,717153,128060,0,0,0,0,0,
KAR,0,0,0,0,0,0,0,
KAS,271625,0,0,0,0,0,0,
KAZ,0,0,0,0,0,0,0,
KBO,0,0,0,0,0,0,0,
KCH,0,0,0,0,0,0,0,
KDS,0,0,0,0,0,0,0,
KHI,0,0,0,0,0,0,0,
KKN,10590,24765,0,0,0,0,0,
KLM,80040,73137,69258,0,0,68102,0,
KMK,0,0,0,0,0,0,0,
KML,0,0,0,0,0,0,0,
KMT,0,0,0,0,0,0,0,
KNG,0,0,0,0,0,0,0,
KNO,1247312,1536098,1578307,0,0,1585690,0,
KNY,0,0,0,0,0,0,0,
KOK,0,92175,92189,0,91814,89694,0,
KON,898584,834890,812134,0,0,830459,0,
KOR,0,0,0,0,0,0,0,
KRA,0,0,0,0,0,0,0,
KRL,101101,103965,0,0,0,0,0,
KRN,0,0,0,0,0,0,0,
KTH,0,0,0,0,0,0,0,
KTI,13773,13898,15918,0,0,0,0,
KUB,426383,429680,435162,0,0,438790,0,
KUK,0,0,0,0,0,0,0,
KUR,0,0,0,0,0,0,0,
KUT,0,0,0,0,0,0,0,
KWT,0,0,0,0,0,0,0,
KYR,0,0,0,0,0,0,0,
KZB,467997,464029,463098,0,0,462960,0,
KZH,0,176408,174872,0,0,0,0,
