Tag,1844,1853,1862,1867,1885,1903,
JAP,18230022,29673127,32270636,34019127,45154669,31408390,
DUA,17028009,19228505,20715016,19853405,31283518,35895343,
BRG,7691024,10787715,13432287,12698050,20650812,24570069,
TAI,60923055,85082461,96328601,96704978,98106226,107532718,
SPA,6247779,9959602,17477607,18058743,27457735,33575644,
INC,1640680,1311489,1105652,1148926,4796566,2809846,
HUN,3999150,3903649,5555723,4374694,5901441,6717588,
MUS,6761318,6279166,9745518,8314005,9970860,6943856,
TUR,7034782,9002269,10198961,10630033,15338447,19955472,
PLC,4851294,6283632,5560054,8329294,11744325,19227817,
