Tag,1838.7.12,1839.10.10,1839.12.11,1841.11.26,1843.3.31,1844.4.28,1848.2.6,1848.5.22,1852.6.19,1852.12.23,1854.8.9,1854.12.24,1855.6.28,1856.3.19,1857.7.27,1858.3.30,1860.1.3,1861.6.14,1868.2.1,1868.4.11,1868.4.15,1871.1.7,1873.5.13,1873.7.4,1875.4.25,1878.7.12,1880.5.18,1880.7.13,1881.7.7,1883.4.29,1883.7.2,1886.3.21,1888.2.7,1890.6.7,1890.11.17,
ARC,829403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUS,8565910,9117198,9128404,9953277,10062151,10135067,6911740,5993719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BRZ,1750151,1693694,1694219,1717687,1895769,2228144,2088036,2088664,2166861,2178388,2229757,2241766,2256353,2278825,2317997,2340939,2403262,2460847,2533538,2537774,2538283,2713821,2885132,2871589,3032019,3303151,3462595,3476287,3565768,3738475,3756185,4052913,4266097,4531780,4587553,
CHI,26795729,26890914,26902075,27048036,27145510,27182311,26971305,26988709,28951321,28989855,29311445,29391482,29503997,29661162,29948254,6184423,26982895,32026483,35259445,35212471,35207327,37817625,38867873,38920517,39423057,39915831,40612637,40671411,41072695,41795320,41843005,42327516,43058378,44219421,44458246,
COM,772038,804454,810493,849707,878874,914612,1123028,1137555,1288641,1312547,1424751,1499532,1509425,1232281,1284571,1312879,1389101,1223836,1646264,1890229,1890885,2343996,2390514,2406239,2999616,9214449,9733422,9762758,9951606,10232433,10247637,10670530,10969067,11314928,11381630,
DNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9135455,9160268,9161483,11458197,11818647,11839564,11863934,13779173,14076689,14107843,14308486,15408611,15260139,16406925,16939149,17627746,17761492,
ENG,7518702,7592817,7601446,7918796,7972356,8005397,7334017,7323359,7367793,7367053,7483776,7511995,7549553,7597201,45881060,46127550,46790271,47345303,51428911,51927578,51935127,53770317,55353585,55451567,56517562,62390484,63966753,64069133,64727661,66063820,66188979,68139094,69470780,71158536,71483795,
ETH,0,0,0,0,0,1769405,2367873,2368641,1061984,1064472,1075535,1077930,1081691,1086686,1095861,1100695,1113147,1123162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FRA,9103245,8798460,8804935,9265729,10345951,10239810,9897714,9868828,10134903,10171874,10306626,10339757,10385819,10450540,10341921,10256342,8815360,8923430,9972752,9982096,9979329,8760432,8979536,8993563,8760026,8577705,8757679,8770855,9346501,10110870,10907976,11167701,11375408,11736275,11810689,
GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10341341,10643977,11792691,11820592,11819572,12561020,13204820,13243232,13610629,14177139,14704194,14740658,14720190,15791231,15576278,16353388,16911009,17667032,17822187,
GON,675741,1115323,1117356,1142528,1157235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IBR,0,0,0,0,0,0,4889078,4900295,5711667,5949950,6029639,6040415,6063928,6090864,6133996,5973023,5970042,5960072,7183801,7197626,7198255,10946431,11230395,11247489,12767555,15023809,15330909,15357260,15332219,15655422,16280634,15613598,15946945,16295064,16372939,
INC,0,0,0,0,0,0,0,0,4315610,4325313,4369362,4380674,4396584,4423996,4494289,4527972,4609984,4690731,5108381,5117942,5117428,5293431,5456557,5466446,5595468,5830832,5943972,5953649,6014329,6129352,6141480,6348422,6503388,6683604,6728288,
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5524134,5305108,5394230,5849318,5859331,5860301,5877236,6041323,6053091,5899560,3532562,3580690,3585296,3616613,1244014,646941,0,0,0,0,
