Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
ABK,0,0,0,0,0,0,0,
ABU,15173,14466,13999,0,0,13626,0,
ADA,0,0,0,0,0,0,0,
ADR,0,0,0,0,0,0,0,
ADW,0,0,0,0,0,0,0,
AFG,3994396,3880080,3857760,0,0,1764705,0,
AFS,0,0,0,0,0,0,0,
AGC,0,0,0,0,0,0,0,
AIN,30267,26402,22851,0,0,0,0,
AJU,0,0,0,0,0,0,0,
AKH,0,0,0,0,0,0,0,
ALB,0,0,0,0,0,0,0,
ALD,0,0,0,0,0,0,0,
ALH,0,0,0,0,0,0,0,
ALS,0,0,0,0,0,0,0,
ALT,0,0,0,0,0,0,0,
AMA,1172011,1490485,1433283,0,0,0,0,
AMT,0,0,0,0,0,0,0,
ANG,0,0,0,0,0,0,0,
ANH,0,0,0,0,0,0,0,
ANI,0,0,0,0,0,0,0,
AOT,44941,41888,0,0,0,0,0,
ARA,5209081,0,0,0,0,0,0,
ARC,0,0,7409359,58309238,16524492,8908961,47920403,
ARE,0,0,0,0,0,0,0,
ARG,0,0,0,0,0,0,0,
ARI,0,5412042,5590908,13258817,11791930,8160053,14027297,
ARM,0,0,0,0,0,0,0,
ARO,0,0,0,0,0,0,0,
ARU,0,0,0,0,0,0,0,
ARY,0,0,0,0,0,0,0,
ASH,782579,818610,1352564,0,0,2188251,0,
ASK,280409,0,0,0,0,0,0,
ASM,0,0,0,0,0,0,0,
AST,0,0,0,0,0,0,0,
ASY,0,0,0,0,0,0,0,
ATC,0,0,0,0,0,0,0,
ATJ,236013,0,0,0,0,0,0,
ATL,0,0,0,0,0,0,0,
ATR,0,0,0,0,0,0,0,
ATS,0,0,0,0,0,0,0,
AUS,0,0,0,0,0,0,0,
AVA,0,0,0,0,0,0,0,
AWA,0,0,0,0,0,0,0,
AWS,0,0,0,0,0,0,0,
AZA,1006170,1006739,1002486,0,0,999054,0,
AZB,1753300,1843666,1515422,0,351826,1529816,0,
AZL,0,0,0,18051888,5758065,3594831,12594054,
AZT,0,0,0,0,0,0,0,
BAB,0,0,0,0,0,0,0,
BAD,0,0,0,0,0,0,0,
BAH,0,0,0,0,0,0,0,
BAL,347021,326633,307873,345253,281401,292764,315485,
BAN,0,0,0,0,0,0,0,
